filenames,N.electron,M.nuclei,M.protons,Nuclei.Distance.Average,Nuclei.Gaussian.Distance.Average,Nuclei.Gaussian.Standard.Deviation,Nuclei.Distance.Average.Proton.Weighted,Nuclei.Distance.Proton.Weighted.Max,Nuclei.Distance.Proton.Weighted.Min,Centroid.average.dist.from.atoms,CentroidW.average.dist.from.atoms,Centroid.dist.from.High.e,Centroid.dist.from.low.e,Centroid.dist.from.High.e2,Centroid.dist.from.low.e2,M.protonsarray.q0,M.protonsarray.q1,M.protonsarray.q2,M.protonsarray.q3,M.protonsarray.q4,M.protonsarray.q5,M.protonsarray.q6,M.protonsarray.q7,M.protonsarray.q8,M.protonsarray.q9,M.protonsarray.q10,Nuclei.Distance.10.Proton.Weighted.Normalized,Nuclei.Distance.20.Proton.Weighted.Normalized,Nuclei.Distance.30.Proton.Weighted.Normalized,Nuclei.Distance.40.Proton.Weighted.Normalized,Nuclei.Distance.50.Proton.Weighted.Normalized,Nuclei.Distance.60.Proton.Weighted.Normalized,Nuclei.Distance.70.Proton.Weighted.Normalized,Nuclei.Distance.80.Proton.Weighted.Normalized,Nuclei.Distance.90.Proton.Weighted.Normalized,Nuclei.Distance.100.Proton.Weighted.Normalized,Nuclei.Distance.Proton.Weighted.Q0,Nuclei.Distance.Proton.Weighted.Q1,Nuclei.Distance.Proton.Weighted.Q2,Nuclei.Distance.Proton.Weighted.Q3,Nuclei.Distance.Proton.Weighted.Q4,Nuclei.Distance.Proton.Weighted.Q5,Nuclei.Distance.Proton.Weighted.Q6,Nuclei.Distance.Proton.Weighted.Q7,Nuclei.Distance.Proton.Weighted.Q8,Nuclei.Distance.Proton.Weighted.Q9,Nuclei.Distance.Proton.Weighted.Q10,Centroid.average.dist.from.atoms.q0,Centroid.average.dist.from.atoms.q1,Centroid.average.dist.from.atoms.q2,Centroid.average.dist.from.atoms.q3,Centroid.average.dist.from.atoms.q4,Centroid.average.dist.from.atoms.q5,Centroid.average.dist.from.atoms.q6,Centroid.average.dist.from.atoms.q7,Centroid.average.dist.from.atoms.q8,Centroid.average.dist.from.atoms.q9,Centroid.average.dist.from.atoms.q10,CentroidW.average.dist.from.atoms.q0,CentroidW.average.dist.from.atoms.q1,CentroidW.average.dist.from.atoms.q2,CentroidW.average.dist.from.atoms.q3,CentroidW.average.dist.from.atoms.q4,CentroidW.average.dist.from.atoms.q5,CentroidW.average.dist.from.atoms.q6,CentroidW.average.dist.from.atoms.q7,CentroidW.average.dist.from.atoms.q8,CentroidW.average.dist.from.atoms.q9,CentroidW.average.dist.from.atoms.q10,ElecDenSurMxq0,ElecDenSurMxq1,ElecDenSurMxq2,ElecDenSurMxq3,ElecDenSurMxq4,ElecDenSurMxq5,ElecDenSurMxq6,ElecDenSurMxq7,ElecDenSurMxq8,ElecDenSurMxq9,ElecDenSurMxq10,ColumbMatrix.1,ColumbMatrix.2,ColumbMatrix.3,ColumbMatrix.4,ColumbMatrix.5,ColumbMatrix.6,ColumbMatrix.7,ColumbMatrix.8,ColumbMatrix.9,ColumbMatrix.10,ColumbMatrix.11,ColumbMatrix.12,ColumbMatrix.13,ColumbMatrix.14,ColumbMatrix.15,ColumbMatrix.16,ColumbMatrix.17,ColumbMatrix.18,ColumbMatrix.19,ColumbMatrix.20,ColumbMatrix.21,ColumbMatrix.22,ColumbMatrix.23,ColumbMatrix.24,ColumbMatrix.25,Elec_Den_Surg2_Mx.1,Elec_Den_Surg2_Mx.2,Elec_Den_Surg2_Mx.3,Elec_Den_Surg2_Mx.4,Elec_Den_Surg2_Mx.5,Elec_Den_Surg2_Mx.6,Elec_Den_Surg2_Mx.7,Elec_Den_Surg2_Mx.8,Elec_Den_Surg2_Mx.9,Elec_Den_Surg2_Mx.10,Elec_Den_Surg2_Mx.11,Elec_Den_Surg2_Mx.12,Elec_Den_Surg2_Mx.13,Elec_Den_Surg2_Mx.14,Elec_Den_Surg2_Mx.15,Elec_Den_Surg2_Mx.16,Elec_Den_Surg2_Mx.17,Elec_Den_Surg2_Mx.18,Elec_Den_Surg2_Mx.19,Elec_Den_Surg2_Mx.20,Elec_Den_Surg2_Mx.21,Elec_Den_Surg2_Mx.22,Elec_Den_Surg2_Mx.23,Elec_Den_Surg2_Mx.24,Elec_Den_Surg2_Mx.25,Theory.Basis.set,Energy,Chemical.Formula,CAS.number,Charge,Chemical.Name
MdlMolFile_2781853_0_1_55_2_207361,22,7,22,2.124006515,2.124006515,0.743672848,11.76975702,18.29722307,3.6668,1.388207158,1.391494413,0.785231733,2.688423772,2.688423772,0.785231733,1,1,1,1,1,1,4,6,6,6,6,0,0,1,5,4,0,0,0,7,4,3.6668,6.190774624,6.190774624,7.492218017,7.605056246,15.5736,15.83050659,15.83050659,16.00448432,17.37550458,18.29722307,0.776342857,0.842216956,0.886133022,0.886133022,1.187536355,1.639641355,1.639641355,1.700668934,1.88375167,1.944779249,1.944779249,0.822619335,0.822619335,0.832935468,0.863883867,1.213178078,1.721645196,1.721645196,1.75508934,1.855421772,1.888865916,1.888865916,0.63588961,0.646122698,0.646122698,2.820061988,3.061641914,3.095289447,3.095289447,6.443081868,6.540119346,7.870046699,9.246417013,90.12080429,24.93402035,24.61078974,-2.3334,-5.507915152,-7.344825993,-11.90515763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.491700795,4.907308254,4.550842414,0.81818843,0.802106483,0.796207597,0.633646028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1B95/3-21G,-115.9056351,C3H4,2781853,0,cyclopropene
MdlMolFile_7722841_1_2_55_2_256910,17,4,18,1.606409064,1.606409064,0.518265984,13.57358158,22.3168,4.3052,1.011967776,1.038840447,0.7156162,1.38767113,1.38767113,0.7156162,1,1,1,1,2.4,4.5,6.6,8,8,8,8,0,1,0,0,2,0,0,0,2,1,4.3052,6.786863711,9.268527422,9.268527422,9.268527422,13.70487237,18.14121731,18.14121731,18.14121731,20.22900865,22.3168,0.845941014,0.845941014,0.845941014,0.845941014,0.912351719,1.011967776,1.111583833,1.177994537,1.177994537,1.177994537,1.177994537,0.705469858,0.705469858,0.705469858,0.705469858,0.838818093,1.038840447,1.238862801,1.372211037,1.372211037,1.372211037,1.372211037,0.929108984,2.697039739,4.464970493,4.464970493,4.464970493,6.602111419,8.739252344,8.739252344,8.739252344,10.1052155,11.47117866,99.89703891,55.42923495,-3.56934419,-3.723540227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.90370037,4.500398938,0.063089039,-0.467188347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1B95/3-21G,-150.2580792,H2O2+,7722841,1,Hydrogen_peroxide_cation+
MdlMolFile_7722841_1_1_55_2_256596,17,4,18,1.667153895,1.667153895,0.653805081,13.44977453,22.3616,5.460246617,1.031930827,1.031930827,0.48832144,1.86339332,1.86339332,0.48832144,1,1,1,1,2.4,4.5,6.6,8,8,8,8,0,0,1,0,2,0,0,2,0,1,5.460246617,7.355936388,9.25162616,9.25162616,9.25162616,13.21920014,17.18677412,17.18677412,17.18677412,19.77418706,22.3616,0.6988,0.6988,0.6988,0.6988,0.832052331,1.031930827,1.231809323,1.365061654,1.365061654,1.365061654,1.365061654,0.6988,0.6988,0.6988,0.6988,0.832052331,1.031930827,1.231809323,1.365061654,1.365061654,1.365061654,1.365061654,0.732567644,2.722746979,4.712926315,4.712926315,4.712926315,6.734071948,8.75521758,8.75521758,8.75521758,10.10170724,11.44819691,99.52171501,55.18754404,-2.594096977,-4.081772624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.94361966,4.468277053,0.151767451,-0.56366416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1B95/3-21G,-150.2799426,H2O2+,7722841,1,Hydrogen_peroxide_cation+
MdlMolFile_7722841_0_1_55_2_256103,18,4,18,1.660852063,1.660852063,0.629899635,13.6379447,24.2688,5.278840918,1.039055115,1.039055115,0.57517056,1.74163509,1.74163509,0.57517056,1,1,1,1,2.4,4.5,6.6,8,8,8,8,0,0,1,2,0,0,0,2,0,1,5.278840918,7.122828182,8.966815446,8.966815446,8.966815446,13.07000682,17.17319819,17.17319819,17.17319819,20.72099909,24.2688,0.7584,0.7584,0.7584,0.7584,0.870662046,1.039055115,1.207448184,1.31971023,1.31971023,1.31971023,1.31971023,0.7584,0.7584,0.7584,0.7584,0.870662046,1.039055115,1.207448184,1.31971023,1.31971023,1.31971023,1.31971023,0.757742099,2.737197062,4.716652024,4.716652024,4.716652024,6.874979694,9.033307364,9.033307364,9.033307364,9.790915285,10.54852321,100.275398,54.30853553,-2.484882866,-4.065661267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.26494143,4.973709253,0.257535645,-0.496186327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1B95/3-21G,-150.6509753,H2O2,7722841,0,Hydrogen_peroxide
MdlMolFile_13952846_0_1_55_2_401757,42,16,42,2.828367691,2.828367691,1.059848307,13.70771018,46.70731928,3.336577072,1.97919059,1.980655123,2.41276592,5.903192642,4.060398494,4.060398494,1,1,1,1,1,1,1,3.5,6,6,7,9,49,8,19,14,8,9,2,1,1,3.336577072,4.915744811,5.930612723,7.234036563,7.670409863,9.58644763,15.08812408,18.41564581,20.88133712,29.10988416,46.70731928,0.624242586,1.247628609,1.553308057,1.725007098,1.927161544,2.021612305,2.310952429,2.350458801,2.429648666,2.600198376,2.93192579,0.604981476,1.266910852,1.516288327,1.771446517,1.91356661,2.012596012,2.284813009,2.315557275,2.470207817,2.595403322,2.976796764,0.356509201,0.480902193,0.635842871,0.785371523,1.12116205,1.676878637,2.499561015,3.075142774,3.268838186,6.387504685,8.804749429,194.6462556,33.21945751,24.23918009,22.86666205,18.51704156,-1.425313921,-1.620424408,-1.708662648,-1.890080732,-1.961306235,-2.289397951,-2.518545226,-4.325671825,-5.342638245,-16.99419767,-47.12122978,0,0,0,0,0,0,0,0,0,8.333342897,6.388489369,5.941132755,5.530022639,5.376687618,1.036682334,1.005355702,0.974897916,0.954435319,0.945152323,0.930158838,0.924445888,0.92232597,0.916763585,0.912071725,0.908035121,0,0,0,0,0,0,0,0,0,B1B95/3-21G,-212.5000209,CH3C(NH2)HCH2CH3,13952846,0,2-Butanamine
MdlMolFile_32038792_0_1_55_2_467097,22,5,22,2.200800612,2.200800612,1.099655016,17.57467185,35.34649561,7.411793476,1.372008992,1.370378028,2.016949892,3.762698372,1.277498216,1.277498216,1,1,1,2,4,6,6,6,6.4,7.2,8,0,0,3,1,2,1,1,0,0,2,7.411793476,8.086587503,8.776313147,12.14138618,14.06193195,15.12519214,16.90346433,19.37198973,23.53738484,32.55885146,35.34649561,0.185281348,0.563274675,0.941268003,1.188250455,1.304222033,1.420193611,1.62802321,1.835852808,1.988721632,2.086629679,2.184537727,0.131386364,0.557009552,0.982632739,1.222527647,1.276694275,1.330860903,1.520321571,1.709782239,1.921547252,2.155616609,2.389685966,0.490102105,2.113669849,2.46817083,2.920879732,3.413424615,4.584991337,5.971496678,7.348924343,9.253006176,10.04285622,10.58302771,106.7883202,36.84650583,25.25609393,-8.780844273,-11.87717058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.90603115,5.913657656,3.356418717,0.545657755,0.278234725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1B95/3-21G,-151.6379865,HCCOH,32038792,0,ethynol
MdlMolFile_12075353_0_1_55_2_332835,18,3,18,1.7268,1.7268,0.747726334,20.7216,31.0824,15.5412,0.8634,0.8634,1.67728401,1.67728401,NA,NA,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,2,0,0,0,0,1,15.5412,15.5412,15.5412,15.5412,15.5412,15.5412,18.64944,21.75768,24.86592,27.97416,31.0824,0,0.25902,0.51804,0.77706,1.03608,1.2951,1.2951,1.2951,1.2951,1.2951,1.2951,0,0.25902,0.51804,0.77706,1.03608,1.2951,1.2951,1.2951,1.2951,1.2951,1.2951,4.632846884,5.559416261,6.485985638,7.412555015,8.339124392,9.265693769,9.265693769,9.265693769,9.265693769,9.265693769,9.265693769,69.88324795,25.37416245,15.3169052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.81163151,3.683576558,0.504791931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1B95/3-21G,-113.3562303,C3,12075353,0,carbon_trimer
MdlMolFile_373808_0_1_55_2_106468,94,10,94,2.531173228,2.531173228,0.745345914,47.02817526,73.65494414,20.21131293,1.711732516,1.709972413,0.498576501,1.256800741,5.190415197,5.190415197,6,8.7,9,9,9,9,9,9,9,9.7,16,0,0,3,0,3,21,3,4,8,3,20.21131293,36.37977139,39.5206971,39.62425278,40.08556012,40.4501657,45.21531231,55.20826774,61.96398091,65.18784308,73.65494414,0.706099498,1.079574072,1.589122589,1.727807615,1.737095696,1.750950999,1.864793937,2.01477539,2.01926476,2.061324845,2.278248274,0.617745949,1.150254781,1.581688505,1.694184796,1.70251184,1.715034204,1.870234293,2.084250879,2.088757831,2.115100382,2.189933086,4.398890038,4.990126344,5.605348524,6.10372682,6.803162977,8.00985594,8.082716499,8.178745283,9.90659624,14.27135978,15.89435592,491.0438245,250.0050605,76.99963581,75.70383991,75.40714669,74.76454336,53.1205596,53.11810911,40.60960351,14.37402125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.95326455,11.19578505,9.002279217,8.529668417,8.527478563,7.961424315,7.94768828,7.927556457,7.823487183,5.131367968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1B95/3-21G,-1228.44695,SF5CF3,373808,0,"Sulfur,_pentafluoro(trifluoromethyl)-"
MdlMolFile_110894_0_2_55_2_76005,48,17,48,2.748994892,2.748994892,0.90910253,14.32998936,38.27449014,3.543126602,1.943863559,1.946715779,2.539904632,6.421925521,2.292539991,2.292539991,1,1,1,1,1,1,1,6,6,6,7,5,36,25,18,10,12,14,10,3,3,3.543126602,5.010735221,6.125911279,7.61680829,8.199850652,14.81009138,15.26581629,19.19446839,23.19809493,27.39480882,38.27449014,1.351423309,1.415776228,1.514113599,1.57778898,1.924121368,1.962650786,2.013028118,2.152629669,2.415706079,2.469867778,2.534151835,1.451182102,1.460301542,1.467767596,1.476089087,1.967095351,1.984773443,1.999716391,2.096347013,2.470618657,2.481497278,2.486310326,0.403996311,0.516146286,0.652964076,0.798286257,1.128946394,2.075459652,2.53620572,3.214516245,3.842556149,6.378148865,8.804619985,223.6713482,35.52387034,29.87987274,26.07304759,25.04090993,22.32696745,-1.111259889,-1.631402833,-1.83047793,-1.878464099,-2.090609834,-2.179486823,-3.355059171,-5.877898913,-21.07908616,-31.65084617,-46.68219103,0,0,0,0,0,0,0,0,8.555126585,6.457598198,5.973254761,5.6585995,5.480926648,5.403078692,1.022675915,0.991309247,0.977249854,0.974377353,0.947539036,0.939806499,0.928246349,0.927168829,0.926283604,0.919175565,0.917583365,0,0,0,0,0,0,0,0,B1B95/3-21G,-250.3885583,C5H11N,110894,0,Piperidine_110894
MdlMolFile_74997_0_1_55_2_25315,22,7,22,2.365333484,2.365333484,1.108855278,13.53235145,31.9476,3.546,1.571243679,1.590329359,2.917752021,2.849221909,2.849221909,2.917752021,1,1,1,1,1,1,4,6,6,6,6,0,3,7,0,5,1,0,3,1,1,3.546,3.546064015,7.662891687,7.663339925,8.473631849,14.4576,14.77264009,15.8606,22.52233175,22.52248426,31.9476,0.503342857,0.773831429,1.100918481,1.541202497,1.687963835,1.687963835,1.687980956,1.692022467,1.70411276,2.132542857,2.769142857,0.217586364,0.830982727,1.276408182,1.385891818,1.622631813,1.922999987,1.922999987,1.923006552,1.923026246,2.147174232,2.483386364,0.472050763,0.472052606,1.128011221,1.880052641,2.175618428,3.089416542,3.316942652,4.507380836,6.394452904,6.597549482,9.960159363,98.57965116,25.89370876,25.18048884,-2.273,-2.273042676,-11.95824756,-20.57524292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.200461796,5.515795498,4.218820077,0.811999263,0.811994736,0.789015229,0.651913401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B1B95/3-21G,-115.9508143,CH3CCH,74997,0,propyne
