filenames,N.electron,M.nuclei,M.protons,Nuclei.Distance.Average,Nuclei.Gaussian.Distance.Average,Nuclei.Gaussian.Standard.Deviation,Nuclei.Distance.Average.Proton.Weighted,Nuclei.Distance.Proton.Weighted.Max,Nuclei.Distance.Proton.Weighted.Min,Centroid.average.dist.from.atoms,CentroidW.average.dist.from.atoms,Centroid.dist.from.High.e,Centroid.dist.from.low.e,Centroid.dist.from.High.e2,Centroid.dist.from.low.e2,M.protonsarray.q0,M.protonsarray.q1,M.protonsarray.q2,M.protonsarray.q3,M.protonsarray.q4,M.protonsarray.q5,M.protonsarray.q6,M.protonsarray.q7,M.protonsarray.q8,M.protonsarray.q9,M.protonsarray.q10,Nuclei.Distance.10.Proton.Weighted.Normalized,Nuclei.Distance.20.Proton.Weighted.Normalized,Nuclei.Distance.30.Proton.Weighted.Normalized,Nuclei.Distance.40.Proton.Weighted.Normalized,Nuclei.Distance.50.Proton.Weighted.Normalized,Nuclei.Distance.60.Proton.Weighted.Normalized,Nuclei.Distance.70.Proton.Weighted.Normalized,Nuclei.Distance.80.Proton.Weighted.Normalized,Nuclei.Distance.90.Proton.Weighted.Normalized,Nuclei.Distance.100.Proton.Weighted.Normalized,Nuclei.Distance.Proton.Weighted.Q0,Nuclei.Distance.Proton.Weighted.Q1,Nuclei.Distance.Proton.Weighted.Q2,Nuclei.Distance.Proton.Weighted.Q3,Nuclei.Distance.Proton.Weighted.Q4,Nuclei.Distance.Proton.Weighted.Q5,Nuclei.Distance.Proton.Weighted.Q6,Nuclei.Distance.Proton.Weighted.Q7,Nuclei.Distance.Proton.Weighted.Q8,Nuclei.Distance.Proton.Weighted.Q9,Nuclei.Distance.Proton.Weighted.Q10,Centroid.average.dist.from.atoms.q0,Centroid.average.dist.from.atoms.q1,Centroid.average.dist.from.atoms.q2,Centroid.average.dist.from.atoms.q3,Centroid.average.dist.from.atoms.q4,Centroid.average.dist.from.atoms.q5,Centroid.average.dist.from.atoms.q6,Centroid.average.dist.from.atoms.q7,Centroid.average.dist.from.atoms.q8,Centroid.average.dist.from.atoms.q9,Centroid.average.dist.from.atoms.q10,CentroidW.average.dist.from.atoms.q0,CentroidW.average.dist.from.atoms.q1,CentroidW.average.dist.from.atoms.q2,CentroidW.average.dist.from.atoms.q3,CentroidW.average.dist.from.atoms.q4,CentroidW.average.dist.from.atoms.q5,CentroidW.average.dist.from.atoms.q6,CentroidW.average.dist.from.atoms.q7,CentroidW.average.dist.from.atoms.q8,CentroidW.average.dist.from.atoms.q9,CentroidW.average.dist.from.atoms.q10,ElecDenSurMxq0,ElecDenSurMxq1,ElecDenSurMxq2,ElecDenSurMxq3,ElecDenSurMxq4,ElecDenSurMxq5,ElecDenSurMxq6,ElecDenSurMxq7,ElecDenSurMxq8,ElecDenSurMxq9,ElecDenSurMxq10,ColumbMatrix.1,ColumbMatrix.2,ColumbMatrix.3,ColumbMatrix.4,ColumbMatrix.5,ColumbMatrix.6,ColumbMatrix.7,ColumbMatrix.8,ColumbMatrix.9,ColumbMatrix.10,ColumbMatrix.11,ColumbMatrix.12,ColumbMatrix.13,ColumbMatrix.14,ColumbMatrix.15,ColumbMatrix.16,ColumbMatrix.17,ColumbMatrix.18,ColumbMatrix.19,ColumbMatrix.20,ColumbMatrix.21,ColumbMatrix.22,ColumbMatrix.23,ColumbMatrix.24,ColumbMatrix.25,Elec_Den_Surg2_Mx.1,Elec_Den_Surg2_Mx.2,Elec_Den_Surg2_Mx.3,Elec_Den_Surg2_Mx.4,Elec_Den_Surg2_Mx.5,Elec_Den_Surg2_Mx.6,Elec_Den_Surg2_Mx.7,Elec_Den_Surg2_Mx.8,Elec_Den_Surg2_Mx.9,Elec_Den_Surg2_Mx.10,Elec_Den_Surg2_Mx.11,Elec_Den_Surg2_Mx.12,Elec_Den_Surg2_Mx.13,Elec_Den_Surg2_Mx.14,Elec_Den_Surg2_Mx.15,Elec_Den_Surg2_Mx.16,Elec_Den_Surg2_Mx.17,Elec_Den_Surg2_Mx.18,Elec_Den_Surg2_Mx.19,Elec_Den_Surg2_Mx.20,Elec_Den_Surg2_Mx.21,Elec_Den_Surg2_Mx.22,Elec_Den_Surg2_Mx.23,Elec_Den_Surg2_Mx.24,Elec_Den_Surg2_Mx.25,Theory.Basis.set,Energy,Chemical.Formula,CAS.number,Charge,Chemical.Name
MdlMolFile_12185170_1_1_8_18_341195,67,2,68,2.1092,2.1092,NA,143.4256,143.4256,143.4256,1.0546,1.0546,1.11218116,1.11218116,NA,NA,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,1,143.4256,143.4256,143.4256,143.4256,143.4256,143.4256,143.4256,143.4256,143.4256,143.4256,143.4256,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,1.0546,32.23971174,32.23971174,32.23971174,32.23971174,32.23971174,32.23971174,32.23971174,32.23971174,32.23971174,32.23971174,32.23971174,2474.46377,2263.03817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.26559833,1.734401669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/aug-cc-pVTZ,-4802.941016,Se2+,12185170,1,selenium_dimer_cation+
MdlMolFile_13940222_1_1_8_18_400844,34,2,35,1.4957,1.4957,NA,52.3495,52.3495,52.3495,0.74785,0.74785,0.559279623,0.559279623,0.559279623,0.559279623,1,4.3,7.6,10.9,14.2,17.5,20.8,24.1,27.4,30.7,34,0,0,0,0,0,0,0,0,0,1,52.3495,52.3495,52.3495,52.3495,52.3495,52.3495,52.3495,52.3495,52.3495,52.3495,52.3495,0.74785,0.74785,0.74785,0.74785,0.74785,0.74785,0.74785,0.74785,0.74785,0.74785,0.74785,0.042734286,0.183757429,0.324780571,0.465803714,0.606826857,0.74785,0.888873143,1.029896286,1.170919429,1.311942571,1.452965714,23.40041452,23.40041452,23.40041452,23.40041452,23.40041452,23.40041452,23.40041452,23.40041452,23.40041452,23.40041452,23.40041452,2369.885786,-0.634815862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.08889731,-11.08889731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/aug-cc-pVTZ,-2401.836959,HSe+,13940222,1,selenium_monohydride_cation+
MdlMolFile_12185170_0_1_8_18_340918,68,2,68,2.1874,2.1874,NA,148.7432,148.7432,148.7432,1.0937,1.0937,1.19617969,1.19617969,NA,NA,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,1,148.7432,148.7432,148.7432,148.7432,148.7432,148.7432,148.7432,148.7432,148.7432,148.7432,148.7432,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,1.0937,31.08713541,31.08713541,31.08713541,31.08713541,31.08713541,31.08713541,31.08713541,31.08713541,31.08713541,31.08713541,31.08713541,2477.12257,2260.37937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.08713541,2.912864588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/aug-cc-pVTZ,-4803.274918,Se2,12185170,0,Selenium_diatomic
MdlMolFile_12185170_-1_1_8_18_340674,69,2,68,2.3082,2.3082,NA,156.9576,156.9576,156.9576,1.1541,1.1541,1.33194681,1.33194681,NA,NA,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,1,156.9576,156.9576,156.9576,156.9576,156.9576,156.9576,156.9576,156.9576,156.9576,156.9576,156.9576,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,1.1541,29.46018543,29.46018543,29.46018543,29.46018543,29.46018543,29.46018543,29.46018543,29.46018543,29.46018543,29.46018543,29.46018543,2481.22977,2256.27217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.39342345,4.606576553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/aug-cc-pVTZ,-4803.345555,Se2-,12185170,-1,selenium_dimer_anion-
MdlMolFile_75252_0_1_8_18_33195,112,5,112,2.403885765,2.403885765,0.701327309,119.2218938,225.722878,7.5488,1.413050304,1.541066083,3.661130087,0.481376986,NA,NA,1,3,5,11.8,23.4,35,35,35,35,35,35,1,0,0,6,0,0,0,0,0,3,7.5488,72.54555255,79.76875599,79.7690915,85.54653197,89.39873596,89.39931297,130.2961191,225.7221756,225.722878,225.722878,0.123320002,0.554680001,0.98604,1.344055113,1.628725338,1.913395563,1.913400529,1.913405494,1.913407977,1.913407977,1.913407977,0.52005893,0.951418929,1.382778929,1.651221039,1.75674526,1.862269481,1.862269481,1.862269481,1.862270304,1.86227195,1.862273596,6.491097923,13.69618992,14.4967557,14.4968867,18.44277221,21.07332512,21.0735024,21.26404814,21.7080344,21.70804284,21.70811884,2838.962524,2391.551838,2391.551252,35.38437167,-1.853367363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.72357416,29.57299844,29.57297029,4.025500639,0.104956474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/aug-cc-pVTZ,-7761.395814,CHBr3,75252,0,bromoform
MdlMolFile_13940222_0_1_8_18_400554,35,2,35,1.4751,1.4751,NA,51.6285,51.6285,51.6285,0.73755,0.73755,0.543980003,0.543980003,0.543980003,0.543980003,1,4.3,7.6,10.9,14.2,17.5,20.8,24.1,27.4,30.7,34,0,0,0,0,0,0,0,0,0,1,51.6285,51.6285,51.6285,51.6285,51.6285,51.6285,51.6285,51.6285,51.6285,51.6285,51.6285,0.73755,0.73755,0.73755,0.73755,0.73755,0.73755,0.73755,0.73755,0.73755,0.73755,0.73755,0.042145714,0.181226571,0.320307429,0.459388286,0.598469143,0.73755,0.876630857,1.015711714,1.154792571,1.293873429,1.432954286,23.72720494,23.72720494,23.72720494,23.72720494,23.72720494,23.72720494,23.72720494,23.72720494,23.72720494,23.72720494,23.72720494,2369.855351,-0.604380704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.40035041,-11.40035041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/aug-cc-pVTZ,-2402.198862,HSe,13940222,0,Selenium_monohydride
MdlMolFile_7550358_0_1_8_18_238596,38,2,38,2.1786,2.1786,NA,82.7868,82.7868,82.7868,1.0893,1.0893,1.18657449,1.18657449,1.18657449,1.18657449,3,6.2,9.4,12.6,15.8,19,22.2,25.4,28.6,31.8,35,0,0,0,0,0,0,0,0,0,1,82.7868,82.7868,82.7868,82.7868,82.7868,82.7868,82.7868,82.7868,82.7868,82.7868,82.7868,1.0893,1.0893,1.0893,1.0893,1.0893,1.0893,1.0893,1.0893,1.0893,1.0893,1.0893,0.171994737,0.355455789,0.538916842,0.722377895,0.905838947,1.0893,1.272761053,1.456222105,1.639683158,1.823144211,2.006605263,17.4423942,17.4423942,17.4423942,17.4423942,17.4423942,17.4423942,17.4423942,17.4423942,17.4423942,17.4423942,17.4423942,2540.093906,6.302236249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.66932858,-4.669328579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/aug-cc-pVTZ,-2581.8385,LiBr,7550358,0,Lithium_Bromide
MdlMolFile_42423187_1_1_8_18_478740,36,4,37,1.813808786,1.813808786,0.362377482,28.09719872,51.90538564,4.2892,1.094207581,1.102272525,0.374727623,1.574748503,1.574748503,0.374727623,1,1,1,1,1,1,1,4.3,14.2,24.1,34,3,0,0,0,0,0,0,0,0,3,4.2892,4.289218982,4.289237965,4.289237965,4.289237965,28.09715167,51.90506537,51.90506537,51.90506537,51.9052255,51.90538564,0.61215,0.804971951,0.997793902,1.190615853,1.254889837,1.254889837,1.254889837,1.254890918,1.254894162,1.254897406,1.25490065,0.066178378,0.4806151,0.895051821,1.309488542,1.447634116,1.447634116,1.447634116,1.447635053,1.447637865,1.447640677,1.44764349,0.932566585,0.932566585,0.932566585,0.932570712,0.932574839,12.26660433,23.60063383,23.60070664,23.60077945,23.60077945,23.60077945,2372.104738,3.435458001,-2.6446,-2.64462531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.57837101,0.516859042,0.51685629,-3.612086337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/aug-cc-pVTZ,-2403.115241,H3Se+,42423187,1,"Hydrogen_Selenide,_protonated+"
MdlMolFile_13940222_-1_1_8_18_400311,36,2,35,1.4781,1.4781,NA,51.7335,51.7335,51.7335,0.73905,0.73905,0.546194903,0.546194903,0.546194903,0.546194903,1,4.3,7.6,10.9,14.2,17.5,20.8,24.1,27.4,30.7,34,0,0,0,0,0,0,0,0,0,1,51.7335,51.7335,51.7335,51.7335,51.7335,51.7335,51.7335,51.7335,51.7335,51.7335,51.7335,0.73905,0.73905,0.73905,0.73905,0.73905,0.73905,0.73905,0.73905,0.73905,0.73905,0.73905,0.042231429,0.181595143,0.320958857,0.460322571,0.599686286,0.73905,0.878413714,1.017777429,1.157141143,1.296504857,1.435868571,23.67904743,23.67904743,23.67904743,23.67904743,23.67904743,23.67904743,23.67904743,23.67904743,23.67904743,23.67904743,23.67904743,2369.859758,-0.608787309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.41844394,-11.41844394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/aug-cc-pVTZ,-2402.284992,HSe-,13940222,-1,selenium_monohydride_anion-
MdlMolFile_74953_0_1_8_18_24119,78,5,78,2.109118144,2.109118144,0.683069047,76.60285801,228.564,3.5928,1.254323593,1.553017144,3.431077762,1.42041613,NA,NA,1,1,1,2,4,6,17.6,29.2,35,35,35,3,0,0,6,0,0,0,0,0,1,3.5928,7.164339368,7.561177075,58.1087987,79.7720651,84.78669452,89.80132394,89.80132394,89.80132394,103.6775915,228.564,0.18336,0.586740848,0.990121696,1.19181212,1.19181212,1.19181212,1.456014017,1.720215915,1.852316863,1.852316863,1.852316863,0.934461538,1.215595972,1.496730405,1.637297622,1.637297622,1.637297622,1.693584361,1.7498711,1.778014469,1.778014469,1.778014469,1.113337787,5.943759016,6.480472486,12.04644269,14.4318585,14.4318585,14.4318585,16.42406282,21.07253959,21.1091053,21.43819674,2692.441353,2390.130838,37.31540201,-0.907412092,-2.2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.25699905,29.64045081,4.579447248,0.721665553,-0.19856267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/aug-cc-pVTZ,-5187.781651,CH2Br2,74953,0,dibromomethane
